AS0     -Reserved AS-
AS1     LVLT-1 - Level 3 Communications, Inc.
AS2     UDEL-DCN - University of Delaware
AS3     MIT-GATEWAYS - Massachusetts Institute of Technology
AS4     ISI-AS - University of Southern California
AS5     SYMBOLICS - Symbolics, Inc.
AS6     BULL-NETWORK for further information please visit http://www.bull.com
AS7     UK Defence Research Agency
AS8     RICE-AS - Rice University
AS9     CMU-ROUTER - Carnegie Mellon University
AS10    CSNET-EXT-AS - CSNET Coordination and Information Center (CSNET-CIC)
AS11    HARVARD - Harvard University
AS12    NYU-DOMAIN - New York University
AS13    DNIC-AS-00013 - Headquarters, USAISC
AS14    COLUMBIA-GW - Columbia University
AS15    NET-DYNAMICS-EXP - DYNAMICS
AS16    LBL - Lawrence Berkeley National Laboratory
AS17    PURDUE - Purdue University
AS18    UTEXAS - University of Texas at Austin
AS19    CSS-DOMAIN - SMDC c/o Science Applications International Corporation
AS20    UR - University of Rochester
AS21    RAND - The RAND Corporation
AS22    DNIC-AS-00022 - Navy Network Information Center (NNIC)
AS23    NISN-SIP-AS - National Aeronautics and Space Administration
AS24    AMES-NAS-GW - National Aeronautics and Space Administration
AS25    UCB - University of California at Berkeley
AS26    CORNELL - Cornell University
AS27    UMDNET - University of Maryland
AS28    DFVLR-SYS Deutsches Zentrum fuer Luft- und Raumfahrt
AS29    YALE-AS - Yale University
AS30    SRI-AICNET - SRI International
AS31    CIT - California Institute of Technology
AS32    STANFORD - Stanford University
AS33    HP-DIGITAL-33 - Hewlett-Packard Company
AS34    UDELNET - University of Delaware
AS35    MITRE-AS-1 - The MITRE Corporation
AS36    EGP-TESTOR - SRI International
AS37    DNIC-AS-00037 - Navy Network Information Center (NNIC)
AS38    UIUC - University of Illinois
AS39    DNIC-AS-00039 - DoD Network Information Center
AS40    MIT-TEST - Massachusetts Institute of Technology
AS41    AMES - National Aeronautics and Space Administration
AS42    PCH PCH
AS43    BNL-AS - Brookhaven National Laboratory
AS44    S1-DOMAIN - Lawrence Livermore National Laboratory
AS45    LLL-TIS-AS - Lawrence Livermore National Laboratory
AS46    RUTGERS - Rutgers University
AS47    USC-AS - University of Southern California
AS48    DNIC-AS-00048 - Navy Network Information Center (NNIC)
AS49    ICST-AS - National Bureau of Standards
AS50    ORNL-MSRNET - Oak Ridge National Laboratory
AS51    DNIC-AS-00051 - Headquarters, USAISC
AS52    UCLA - University of California, Los Angeles
AS53    NORTHROP-AS - Northrop Grumman Corporation - Automation Sciences Laboratory
AS54    DNIC-AS-00054 - Headquarters, USAISC
AS55    UPENN - University of Pennsylvania
AS56    DNIC-AS-00056 - DoD Network Information Center
AS57    UMN-REI-UC - University of Minnesota
AS58    DREA-AS - Defence Research Establishment Atlantic
AS59    WISC-MADISON-AS - University of Wisconsin Madison
AS60    AINET-AS60 - Advanced Information Technology Services, LLC
AS61    DEC-MARLBORO-AS - 754th Electronic Systems Group
AS62    CYRS - CyrusOne LLC
AS63    LL-MI - Massachusetts Institute of Technology
AS64    MITRE-AS-2 - The MITRE Corporation
AS65    AF-RASN-65 - 754th Electronic Systems Group
AS66    DNIC-AS-00066 - Headquarters, USAISC
AS67    SDC-PRC-AS - Unisys Corporation
AS68    LANL-INET-AS - Los Alamos National Laboratory
AS69    UPENN2 - University of Pennsylvania
AS70    NLM-GW - National Library of Medicine
AS71    HP-INTERNET-AS Hewlett Packard Europe S.A.S.
AS72    SCHLUMBERGER-AS Schlumberger Limited
AS73    WASHINGTON-AS - University of Washington
AS74    XDRENET-AS - Defence Research Establishment
AS75    ANL-AS - Argonne National Laboratory
AS76    SDC-CAM-AS - Unisys Corporation
AS77    JHUAPL-AS - Johns Hopkins University Applied Physics Laboratory
AS78    SYNTEGRA - Syntegra (USA), Inc.
AS79    DSPO-HC-AS - Los Alamos National Laboratory
AS80    GE-CRD - General Electric Company
AS81    NCREN - MCNC
AS82    TWG-DEMO-AS - The Wollongong Group
AS83    DNIC-AS-00083 - Headquarters, USAISC
AS84    DNIC-AS-00084 - Navy Network Information Center (NNIC)
AS85    AERO-NET - The Aerospace Corporation
AS86    CSC-300-AS86 - Computer Sciences Corporation
AS87    INDIANA-AS - Indiana University
AS88    PRINCETON-AS - Princeton University
AS89    DNIC-AS-00089 - Navy Network Information Center (NNIC)
AS90    SUN-AS - Sun Microsystems, Inc.
AS91    RPI-AS - Rensselaer Polytechnic Institute
AS92    CLARKSON-AS - Clarkson University
AS93    NTTA-93 - NTT America, Inc.
AS94    DNIC-AS-00094 - Headquarters, USAISC
AS95    DNIC-AS-00095 - DoD Network Information Center
AS96    DNIC-AS-00096 - Headquarters, USAISC
AS97    NTTA-97 - NTT America, Inc.
AS98    ROCKEFELLER-AS - The Rockefeller University
AS99    INTEL-IWARP - Intel Corporation
AS100   FMC-CTC - FMC Central Engineering Laboratories
AS101   WASH-NSF-AS - University of Washington
AS102   NSF-HQ-AS - National Science Foundation
AS103   NWU-AS - Northwestern University
AS104   COLORADO-AS - University of Colorado at Boulder
AS105   MOT-MCD-AS - Gould Computer Systems Division
AS106   GDAIS-ASN-106 - General Dynamics Advanced Information Systems, Inc.
AS107   ECSNET-AS - 754th Electronic Systems Group
AS108   XEROX-AS - Xerox Corporation
AS109   CISCO-EU-109 Cisco Systems Global ASN - ARIN Assigned
AS110   XAIT-AS - Xerox Advanced Information Technology
